"TOA5","USL_Winch_IP","CR1000","83445","CR1000.Std.31","CPU:USL_1M_6H.cr1","21122","EventLog"
"TIMESTAMP","RECORD","EventMsg","EventDetails"
"TS","RN","",""
"","","Smp","Smp"
"2017-05-25 09:48:22.1",66,"(Setup Mode) (F5) - Manual profile sonde reading."," 13.861 57.07 0.951 0.950 102.56 10.60 7.56 0.85 -0.22 0.15 1.29 5.95 6.23 12.59   # "
"2017-05-25 09:48:32.1",67,"(Setup Mode) (F5) - Manual profile sonde reading."," 13.856 56.90 0.953 0.949 102.44 10.59 7.58 0.84 -0.21 0.15 1.25 5.77 6.24 12.56   # "
"2017-05-25 09:48:50",68,"[05/25/2017 09:48:50.09] ------------------ Start of  profile [1] (1, 0, 1, 1) - {30.4} ------------------","CurrPflType[1]; currPflIndex[1]"
"2017-05-25 09:48:50",69,"[05/25/2017 09:49:05.80]  Water available (26.99688); Start Depth (1); End Depth (24.99688) from surface."," StartX [1]; EndX [2] BottomType[1]; bIsBottomRef[0]; ProfileLeg[1]"
"2017-05-25 10:21:30",70,"[05/25/2017 10:24:46.26] ------------------ End of profile [1] ------------------",""
"2017-05-25 11:17:23",71,"[05/25/2017 11:17:23.08] ------------------ Start of  profile [2] (1, 0, 1, 1) - {30.4} ------------------","CurrPflType[1]; currPflIndex[1]"
"2017-05-25 11:17:23",72,"[05/25/2017 11:17:41.31]  Water available (26.99688); Start Depth (1); End Depth (24.99688) from surface."," StartX [1]; EndX [2] BottomType[1]; bIsBottomRef[0]; ProfileLeg[1]"
"2017-05-25 11:50:01",73,"[05/25/2017 11:53:12.63] ------------------ End of profile [2] ------------------",""
"2017-05-25 12:00:00",74,"[05/25/2017 12:00:00.09] ------------------ Start of  profile [3] (1, 0, 1, 1) - {30.4} ------------------","CurrPflType[1]; currPflIndex[1]"
"2017-05-25 12:00:00",75,"[05/25/2017 12:00:12.82]  Water available (26.80124); Start Depth (1); End Depth (24.80124) from surface."," StartX [1]; EndX [2] BottomType[1]; bIsBottomRef[0]; ProfileLeg[1]"
