"TOA5","USL_Winch_IP","CR1000","83445","CR1000.Std.31","CPU:USL_1M_6H.cr1","21122","PFL_Step"
"TIMESTAMP","RECORD","PFL_Counter","_CntRS232","_RS232Dpt","sensorParms(1)","sensorParms(2)","sensorParms(3)","sensorParms(4)","sensorParms(5)","sensorParms(6)","sensorParms(7)","sensorParms(8)","sensorParms(9)","sensorParms(10)","sensorParms(11)","sensorParms(12)","sensorParms(13)","sensorParms(14)"
"TS","RN","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2017-05-24 00:27:34",45,2,1,21.02,7.022,61.41,21.017,21.017,77.35,9.38,6.75,0.6,-0.27,0.08,0.28,1.65,6.23,11.26
"2017-05-24 00:29:00",46,2,1,22.02,6.964,61.41,22.016,22.016,77.07,9.36,6.74,0.57,-0.28,0.07,0.27,1.6,6.23,11.05
"2017-05-24 00:30:26",47,2,1,23.02,6.92,61.45,23.022,23.023,76.71,9.33,6.73,0.55,-0.28,0.07,0.2,1.33,6.23,10.97
"2017-05-24 00:31:52",48,2,1,24.02,6.88,61.53,24.019,24.019,75.68,9.21,6.72,0.71,-0.3,0.05,0.34,1.93,6.23,11.42
"2017-05-24 00:33:17",49,2,1,24.92,6.812,61.65,24.921,24.92,74.68,9.11,6.71,0.75,-0.3,0.06,0.21,1.36,6.23,11.41
"2017-05-24 06:01:27",50,3,1,0.95,13.245,57.85,0.95,0.95,101.6,10.65,7.58,0.69,-0.18,0.18,1.84,8.37,6.23,11.5
"2017-05-24 06:02:46",51,3,1,2.068,13.243,57.84,2.068,2.069,101.6,10.65,7.58,0.58,-0.19,0.17,2.57,11.52,6.23,11.49
"2017-05-24 06:04:04",52,3,1,3.08,13.213,57.86,3.08,3.08,101.35,10.63,7.57,0.64,-0.19,0.17,2.68,12.02,6.23,11.5
"2017-05-24 06:05:20",53,3,1,4.001,12.658,58.76,4.001,4.001,100.05,10.62,7.53,0.63,-0.16,0.2,2.29,10.33,6.23,10.84
"2017-05-24 06:06:39",54,3,1,5.078,12.402,58.52,5.078,5.078,99.49,10.62,7.51,1.11,-0.1,0.26,4.55,20.07,6.23,11.48
"2017-05-24 06:07:55",55,3,1,6.001,12.301,58.64,6.001,6.002,99.44,10.64,7.5,0.77,-0.12,0.24,2.79,12.51,6.23,11.43
"2017-05-24 06:09:11",56,3,1,6.989,11.652,58.87,6.989,6.989,94.31,10.24,7.34,1.27,-0.06,0.3,3.36,14.97,6.23,11.46
"2017-05-24 06:10:30",57,3,1,8.07,10.834,59.14,8.066,8.065,92.97,10.29,7.22,0.73,-0.11,0.24,3.48,15.46,6.23,11.51
"2017-05-24 06:11:48",58,3,1,9.06,10.62,59.29,9.064,9.065,93.14,10.36,7.18,0.77,-0.11,0.25,2.85,12.77,6.23,11.52
"2017-05-24 06:13:06",59,3,1,10.06,10.049,59.66,10.058,10.058,90.79,10.24,7.12,0.6,-0.19,0.16,1.77,8.1,6.23,11.55
"2017-05-24 06:14:25",60,3,1,11.06,9.864,59.46,11.056,11.056,89.89,10.18,7.08,0.61,-0.16,0.19,1.72,7.87,6.23,12.31
"2017-05-24 06:15:43",61,3,1,12.06,9.654,59.57,12.056,12.055,88.51,10.07,7.04,0.54,-0.2,0.15,1.99,9.04,6.23,11.54
"2017-05-24 06:17:02",62,3,1,13.06,9.201,59.84,13.058,13.058,87.38,10.05,7,0.56,-0.23,0.13,1.14,5.38,6.23,12.15
"2017-05-24 06:18:21",63,3,1,14.05,8.388,60.54,14.05,14.051,84.38,9.9,6.93,0.37,-0.25,0.1,0.66,3.3,6.23,12.12
"2017-05-24 06:19:40",64,3,1,15.05,8.276,60.56,15.054,15.054,84.16,9.9,6.9,0.41,-0.26,0.09,0.78,3.81,6.23,12.13
"2017-05-24 06:20:59",65,3,1,16.07,8.081,60.7,16.069,16.068,83.23,9.84,6.87,0.39,-0.25,0.1,0.66,3.31,6.23,12.28
"2017-05-24 06:22:18",66,3,1,17.03,7.658,60.95,17.029,17.029,81.61,9.74,6.84,0.36,-0.24,0.11,1.14,5.36,6.23,12.26
"2017-05-24 06:23:37",67,3,1,18.04,7.288,61.22,18.044,18.043,79.96,9.64,6.81,0.38,-0.27,0.09,0.5,2.59,6.23,12.2
"2017-05-24 06:24:56",68,3,1,19.04,7.206,61.28,19.042,19.043,79.23,9.57,6.79,0.53,-0.26,0.09,0.33,1.87,6.23,12.23
"2017-05-24 06:26:15",69,3,1,20.03,7.148,61.31,20.03,20.03,78.72,9.52,6.77,0.53,-0.27,0.08,0.34,1.91,6.23,11.84
"2017-05-24 06:27:41",70,3,1,21.03,7.06,61.41,21.03,21.03,77.68,9.41,6.76,0.53,-0.26,0.09,0.31,1.77,6.23,11.76
"2017-05-24 06:29:07",71,3,1,22.03,6.949,61.44,22.031,22.031,77.1,9.37,6.75,0.66,-0.29,0.06,0.25,1.55,6.23,11.8
"2017-05-24 06:30:33",72,3,1,23.03,6.904,61.53,23.032,23.032,76.14,9.26,6.74,0.65,-0.27,0.08,0.2,1.3,6.23,11.79
"2017-05-24 06:31:59",73,3,1,24.04,6.87,61.63,24.037,24.037,74.95,9.13,6.72,0.67,-0.29,0.06,0.23,1.43,6.23,12.28
"2017-05-24 06:33:24",74,3,1,24.85,6.842,61.68,24.847,24.846,74.03,9.02,6.71,0.85,-0.27,0.08,0.19,1.27,6.23,12.42
"2017-05-24 12:01:27",75,4,1,0.955,13.71,57.82,0.955,0.956,104.03,10.79,7.71,0.75,-0.26,0.09,0.87,4.21,6.23,12.6
"2017-05-24 12:02:43",76,4,1,2.044,13.295,58.11,2.044,2.043,103.44,10.83,7.7,0.7,-0.19,0.16,1.66,7.59,6.23,11.94
"2017-05-24 12:03:59",77,4,1,3.088,13.059,58.11,3.088,3.088,102.43,10.78,7.67,0.72,-0.18,0.17,1.94,8.82,6.23,11.94
"2017-05-24 12:05:14",78,4,1,4.079,12.874,58.01,4.079,4.078,100.74,10.64,7.61,1.05,-0.14,0.22,3.01,13.43,6.23,12.66
"2017-05-24 12:06:30",79,4,1,5.06,12.505,58.33,5.06,5.06,100.09,10.66,7.55,0.83,-0.15,0.21,2.82,12.61,6.23,11.94
"2017-05-24 12:07:46",80,4,1,6.076,12.048,58.67,6.076,6.076,97.63,10.51,7.41,1.11,-0.13,0.23,2.84,12.69,6.23,12.49
"2017-05-24 12:09:02",81,4,1,7.083,11.174,58.98,7.083,7.084,94.36,10.36,7.28,0.69,-0.16,0.2,2.47,11.11,6.23,12.47
"2017-05-24 12:10:17",82,4,1,8.07,10.948,59.09,8.066,8.066,93.37,10.31,7.21,0.71,-0.14,0.22,2.81,12.58,6.23,12.09
"2017-05-24 12:11:33",83,4,1,9.06,10.584,59.28,9.062,9.062,93.31,10.39,7.17,0.74,-0.14,0.21,2.21,9.98,6.23,12.01
"2017-05-24 12:12:49",84,4,1,10.07,10.249,59.34,10.071,10.072,91.33,10.25,7.12,0.68,-0.17,0.18,2.42,10.9,6.23,12.08
"2017-05-24 12:14:05",85,4,1,11.04,9.975,59.52,11.042,11.041,90.92,10.27,7.09,0.67,-0.14,0.22,1.86,8.47,6.23,11.9
"2017-05-24 12:15:21",86,4,1,12.05,9.636,59.7,12.051,12.05,89.89,10.23,7.06,0.6,-0.19,0.17,2.24,10.1,6.23,11.96
"2017-05-24 12:16:37",87,4,1,13.05,9.223,59.99,13.052,13.051,88.08,10.13,7.02,0.52,-0.22,0.14,1.24,5.81,6.23,11.99
"2017-05-24 12:17:53",88,4,1,14.07,8.321,60.77,14.07,14.069,84.64,9.94,6.95,0.35,-0.26,0.1,0.77,3.75,6.23,11.94
"2017-05-24 12:19:09",89,4,1,15.06,8.163,60.73,15.062,15.061,84.08,9.92,6.91,0.44,-0.26,0.09,0.69,3.43,6.23,11.97
"2017-05-24 12:20:25",90,4,1,16.07,8.061,60.74,16.071,16.07,83.23,9.84,6.89,0.44,-0.24,0.12,0.63,3.15,6.23,12.71
"2017-05-24 12:21:41",91,4,1,17.07,7.825,60.87,17.066,17.066,82.26,9.78,6.86,0.32,-0.24,0.11,0.58,2.93,6.23,11.99
"2017-05-24 12:22:57",92,4,1,18.05,7.49,61.1,18.052,18.053,80.71,9.68,6.84,0.49,-0.26,0.09,0.63,3.16,6.23,11.93
"2017-05-24 12:24:13",93,4,1,19.06,7.295,61.2,19.056,19.056,79.84,9.62,6.81,0.37,-0.26,0.09,0.33,1.86,6.23,11.98
"2017-05-24 12:25:29",94,4,1,20.05,7.136,61.34,20.054,20.053,78.95,9.55,6.79,0.44,-0.25,0.1,0.31,1.8,6.23,11.96
"2017-05-24 12:26:52",95,4,1,21.04,7.086,61.3,21.044,21.044,78.18,9.47,6.78,0.52,-0.26,0.1,0.26,1.57,6.23,11.96
"2017-05-24 12:28:18",96,4,1,22.03,7.046,61.31,22.031,22.031,78,9.46,6.77,0.48,-0.29,0.06,0.31,1.8,6.23,11.96
"2017-05-24 12:29:41",97,4,1,23.05,6.892,61.54,23.051,23.051,76.48,9.31,6.75,0.57,-0.29,0.06,0.25,1.51,6.23,11.9
"2017-05-24 12:31:04",98,4,1,24.06,6.879,61.56,24.056,24.055,75,9.13,6.74,0.8,-0.28,0.08,0.29,1.69,6.23,11.97
"2017-05-24 12:32:26",99,4,1,24.96,6.805,61.72,24.957,24.955,74.07,9.03,6.72,0.77,-0.27,0.08,0.3,1.76,6.23,11.97
"2017-05-24 15:04:08",100,5,1,1.099,13.754,56.34,1.099,1.1,104.03,10.78,7.72,0.56,-0.24,0.13,1.28,5.89,6.17,12.51
"2017-05-24 15:05:23",101,5,1,2.112,13.332,56.21,2.112,2.113,102.77,10.75,7.69,0.69,-0.18,0.18,1.8,8.14,6.18,12.54
"2017-05-24 15:06:38",102,5,1,3.092,13.041,56.26,3.092,3.092,102,10.74,7.63,0.68,-0.15,0.21,1.86,8.39,6.18,12.23
"2017-05-24 15:07:54",103,5,1,4.083,12.605,56.43,4.083,4.082,99.65,10.59,7.57,0.72,-0.07,0.3,3.02,13.34,6.18,12.24
"2017-05-24 15:09:09",104,5,1,5.054,12.341,56.79,5.054,5.053,98.74,10.56,7.5,0.9,-0.12,0.25,2.27,10.14,6.18,12.17
"2017-05-24 15:10:25",105,5,1,6.036,12.052,57,6.036,6.035,96.86,10.43,7.41,0.88,-0.1,0.26,3.31,14.57,6.18,12.73
"2017-05-24 15:11:41",106,5,1,7.075,11.576,57.29,7.075,7.096,94.3,10.26,7.31,0.78,-0.11,0.26,2.62,11.63,6.18,12.13
"2017-05-24 15:12:57",107,5,1,8.08,11.239,57.47,8.08,8.08,93.01,10.2,7.2,0.6,-0.14,0.22,2.53,11.27,6.19,12.65
"2017-05-24 15:14:13",108,5,1,9.09,10.565,57.75,9.085,9.088,91.84,10.23,7.1,0.76,-0.13,0.23,2.24,10.01,6.19,12.62
"2017-05-24 15:15:29",109,5,1,10.05,10.195,57.93,10.053,10.052,89.96,10.11,7.02,0.75,-0.11,0.26,1.91,8.61,6.19,12.53
"2017-05-24 15:16:45",110,5,1,11.02,9.853,58.06,11.024,11.026,89.01,10.08,6.95,0.61,-0.18,0.19,1.63,7.42,6.19,12.43
"2017-05-24 15:18:01",111,5,1,12.08,9.658,58.21,12.079,12.077,87.86,10,6.88,0.66,-0.19,0.18,1.48,6.74,6.19,12.45
"2017-05-24 15:19:17",112,5,1,13.06,9.081,58.68,13.061,13.061,85.43,9.86,6.81,0.48,-0.23,0.14,1.27,5.84,6.19,12.45
"2017-05-24 15:20:33",113,5,1,14.05,8.363,59.21,14.05,14.05,83.11,9.76,6.73,0.48,-0.26,0.11,0.67,3.29,6.19,12.62
"2017-05-24 15:21:51",114,5,1,15.11,8.158,59.38,15.11,15.109,82.38,9.72,6.66,0.43,-0.26,0.11,0.62,3.06,6.19,12.49
"2017-05-24 15:23:07",115,5,1,16,8.042,59.4,15.995,15.996,82.07,9.71,6.62,0.5,-0.25,0.12,0.71,3.45,6.19,12.63
"2017-05-24 15:24:26",116,5,1,17.08,7.813,59.61,17.083,17.081,81.09,9.65,6.59,0.44,-0.26,0.11,0.58,2.91,6.19,12.68
"2017-05-24 15:25:44",117,5,1,18.06,7.563,59.83,18.06,18.061,80.02,9.58,6.56,0.51,-0.29,0.07,0.38,2.07,6.19,12.21
"2017-05-24 15:27:03",118,5,1,19.08,7.266,59.96,19.076,19.07,78.25,9.44,6.51,0.56,-0.29,0.08,0.33,1.83,6.19,12.2
"2017-05-24 15:28:22",119,5,1,20.07,7.144,60.02,20.065,20.064,77.66,9.39,6.48,0.58,-0.28,0.08,0.35,1.91,6.2,12.12
"2017-05-24 15:29:47",120,5,1,21.05,7.073,60.06,21.053,21.053,76.57,9.28,6.46,0.61,-0.28,0.09,0.22,1.37,6.2,12.27
"2017-05-24 15:31:19",121,5,1,22.05,6.978,60.16,22.05,22.058,75.77,9.2,6.44,0.69,-0.3,0.07,0.18,1.2,6.2,12.71
"2017-05-24 15:32:45",122,5,1,23.06,6.908,60.25,23.06,23.058,74.74,9.09,6.43,0.82,-0.31,0.06,0.17,1.16,6.2,12.71
"2017-05-24 15:34:13",123,5,1,24.06,6.868,60.36,24.056,24.057,73.4,8.94,6.42,0.86,-0.33,0.04,0.11,0.9,6.2,12.35
"2017-05-24 15:35:34",124,5,1,24.71,6.824,60.45,24.709,24.707,72.64,8.86,6.41,0.97,-0.29,0.08,0.15,1.09,6.2,12.68
"2017-05-24 18:01:27",125,6,1,0.914,14.721,57.05,0.914,0.913,106.04,10.76,7.72,0.69,-0.24,0.13,1.39,6.38,6.21,12.34
"2017-05-24 18:02:44",126,6,1,2.064,14.457,56.95,2.064,2.063,105.6,10.77,7.72,0.63,-0.19,0.18,1.91,8.62,6.22,12.72
"2017-05-24 18:04:00",127,6,1,3.063,12.939,57.16,3.063,3.063,102.19,10.78,7.69,0.93,-0.14,0.22,2.18,9.75,6.22,12.43
"2017-05-24 18:05:16",128,6,1,4.086,12.667,56.9,4.086,4.085,99.96,10.61,7.64,0.93,-0.05,0.31,3.73,16.38,6.21,12.42
"2017-05-24 18:06:31",129,6,1,5.089,12.306,57.42,5.089,5.087,98.91,10.58,7.56,0.66,-0.12,0.24,5.22,22.77,6.22,12.36
"2017-05-24 18:07:46",130,6,1,6.071,12.215,57.38,6.071,6.07,98.33,10.55,7.49,0.85,-0.04,0.32,2.56,11.36,6.22,12.41
"2017-05-24 18:09:02",131,6,1,7.073,11.71,57.79,7.073,7.072,96.3,10.45,7.42,0.97,-0.03,0.33,3.57,15.7,6.22,12.41
"2017-05-24 18:10:18",132,6,1,8.08,10.97,57.96,8.08,8.08,91.73,10.12,7.3,0.68,-0.15,0.22,2.02,9.09,6.22,12.41
"2017-05-24 18:11:34",133,6,1,9.04,10.57,57.98,9.043,9.044,90.31,10.06,7.16,0.72,-0.14,0.22,2.26,10.08,6.22,12.49
"2017-05-24 18:12:50",134,6,1,10.06,10.098,58.19,10.059,10.058,89.88,10.12,7.07,0.67,-0.1,0.27,1.92,8.65,6.21,12.42
"2017-05-24 18:14:06",135,6,1,11.07,9.832,58.25,11.074,11.075,88.86,10.07,6.98,0.65,-0.15,0.21,1.7,7.7,6.22,12.46
"2017-05-24 18:15:22",136,6,1,12.06,9.481,58.47,12.059,12.059,87.35,9.98,6.91,0.61,-0.24,0.13,0.85,4.08,6.22,12.45
"2017-05-24 18:16:38",137,6,1,13.04,8.743,59,13.041,13.041,84.7,9.85,6.83,0.63,-0.22,0.14,0.99,4.66,6.22,12.45
"2017-05-24 18:17:54",138,6,1,14.04,8.388,59.26,14.04,14.036,83.76,9.83,6.76,0.54,-0.26,0.11,0.77,3.71,6.22,12.45
"2017-05-24 18:19:10",139,6,1,15.06,8.236,59.38,15.063,15.063,83.04,9.78,6.72,0.57,-0.26,0.11,0.68,3.35,6.22,12.4
"2017-05-24 18:20:26",140,6,1,16.07,7.945,59.56,16.068,16.066,82.18,9.74,6.68,0.51,-0.23,0.14,0.67,3.28,6.22,12.44
"2017-05-24 18:21:42",141,6,1,17.03,7.727,59.74,17.032,17.031,80.96,9.65,6.66,0.47,-0.26,0.11,0.57,2.88,6.21,12.8
"2017-05-24 18:22:58",142,6,1,18,7.534,59.84,18.002,18.003,80.06,9.59,6.63,0.59,-0.26,0.11,0.42,2.22,6.22,12.81
"2017-05-24 18:24:17",143,6,1,19.09,7.309,59.95,19.087,19.087,78.66,9.48,6.6,0.55,-0.26,0.11,0.38,2.07,6.22,12.44
"2017-05-24 18:25:35",144,6,1,20.11,7.249,60.01,20.107,20.106,78.32,9.45,6.58,0.65,-0.26,0.11,0.31,1.76,6.22,12.32
"2017-05-24 18:26:58",145,6,1,21.01,7.132,60.05,21.013,21.012,77.46,9.37,6.57,0.66,-0.29,0.08,0.35,1.92,6.22,12.34
"2017-05-24 18:28:24",146,6,1,22.08,7.026,60.14,22.077,22.077,76.27,9.25,6.55,0.73,-0.28,0.09,0.21,1.34,6.22,12.27
"2017-05-24 18:29:52",147,6,1,23.06,6.921,60.29,23.063,23.063,75,9.12,6.53,0.81,-0.29,0.08,0.16,1.1,6.22,12.45
"2017-05-24 18:31:38",148,6,1,25.07,6.818,60.43,25.069,25.043,73.08,8.91,6.5,0.93,-0.29,0.08,0.22,1.36,6.22,12.19
"2017-05-25 00:01:27",149,7,1,0.971,14.964,57,0.971,0.97,105.73,10.67,7.67,0.68,-0.2,0.17,1.48,6.75,6.23,11.51
"2017-05-25 00:02:46",150,7,1,2.076,14.007,57.07,2.076,2.076,104.44,10.76,7.67,0.73,-0.19,0.17,1.99,8.92,6.23,11.2
"2017-05-25 00:04:02",151,7,1,3.016,13.957,56.99,3.016,3.016,104.38,10.77,7.68,0.71,-0.19,0.18,1.82,8.23,6.23,11.13
"2017-05-25 00:05:20",152,7,1,4.079,12.773,57.62,4.079,4.079,101.65,10.76,7.66,0.65,-0.09,0.28,3.02,13.37,6.23,11.48
"2017-05-25 00:06:36",153,7,1,5.015,12.432,57.42,5.015,5.014,97.89,10.45,7.57,0.85,-0.02,0.34,3.05,13.46,6.23,11.06
"2017-05-25 00:07:55",154,7,1,6.088,11.787,57.7,6.088,6.088,96.63,10.46,7.46,0.95,-0.05,0.32,4.4,19.25,6.23,11.46
"2017-05-25 00:09:11",155,7,1,7.009,11.328,59.11,7.009,7.008,95.1,10.41,7.37,0.87,0.04,0.41,2.39,10.64,6.23,11.08
"2017-05-25 00:10:29",156,7,1,8.08,11.106,58.13,8.082,8.082,93.89,10.33,7.27,1.05,-0.08,0.29,4.45,19.47,6.23,11.57
"2017-05-25 00:11:47",157,7,1,9.07,10.765,57.9,9.072,9.071,92.07,10.21,7.17,0.68,-0.08,0.29,2.24,10.03,6.23,11.06
"2017-05-25 09:50:20",158,1,1,0.956,13.842,57.04,0.956,0.953,102.45,10.59,7.56,0.83,-0.19,0.18,2.02,9.09,6.24,12.55
"2017-05-25 09:51:37",159,1,1,2.063,13.816,57.06,2.063,2.054,102.36,10.59,7.56,0.82,-0.18,0.18,1.67,7.57,6.23,12.42
"2017-05-25 09:52:53",160,1,1,3.054,13.767,57.09,3.054,3.053,102.18,10.58,7.56,0.78,-0.2,0.17,1.78,8.05,6.24,12.41
"2017-05-25 09:54:09",161,1,1,4.062,13.296,57.23,4.062,4.072,101.16,10.59,7.54,0.84,-0.18,0.19,2.05,9.19,6.24,12.42
"2017-05-25 09:55:25",162,1,1,5.04,12.949,57.29,5.04,5.042,100.05,10.55,7.49,0.82,-0.15,0.21,2.23,9.98,6.23,12.48
"2017-05-25 09:56:41",163,1,1,6.045,12.726,57.4,6.045,6.043,99.27,10.52,7.44,0.83,-0.17,0.2,2.34,10.44,6.23,12.48
"2017-05-25 09:57:57",164,1,1,7.063,12.709,57.37,7.063,7.072,99.15,10.52,7.4,0.79,-0.14,0.23,2.71,12.04,6.23,12.34
