"TOA5","USL_MET_IP","CR1000","81651","CR1000.Std.30.01","CPU:Met1000_line797_rainMET.CR1","7226","Wind_vectorRaw"
"TIMESTAMP","RECORD","W_SpdRaw_WVc(1)","W_SpdRaw_WVc(2)"
"TS","RN","",""
"","","WVc","WVc"
"2017-05-25 13:59:31",152,4.868649,93.94125
"2017-05-25 14:14:31",153,3.937394,93.62241
"2017-05-25 14:29:31",154,3.116785,97.69267
"2017-05-25 14:44:31",155,3.112197,114.7498
"2017-05-25 14:59:31",156,2.928741,111.2724
"2017-05-25 15:14:31",157,4.33886,108.6817
"2017-05-25 15:29:31",158,3.814987,105.6924
"2017-05-25 15:44:31",159,5.304022,105.4254
"2017-05-25 15:59:31",160,4.282193,94.89669
"2017-05-25 16:14:31",161,4.269516,107.056
"2017-05-25 16:29:31",162,2.859667,106.8025
"2017-05-25 16:44:31",163,3.01854,105.5321
"2017-05-25 16:59:31",164,5.613378,124.9234
"2017-05-25 17:14:31",165,6.849949,122.2796
"2017-05-25 17:29:31",166,7.33319,126.3461
"2017-05-25 17:44:31",167,6.783796,130.1004
"2017-05-25 17:59:31",168,6.61436,128.8312
"2017-05-25 18:14:31",169,5.033628,115.0284
"2017-05-25 18:29:31",170,3.298621,117.5194
"2017-05-25 18:44:31",171,3.169559,92.86403
"2017-05-25 18:59:31",172,2.970745,88.65775
"2017-05-25 19:14:31",173,3.328019,105.2117
"2017-05-25 19:29:31",174,4.422319,110.3778
"2017-05-25 19:44:31",175,4.676202,127.7462
"2017-05-25 19:59:31",176,4.100901,101.0707
"2017-05-25 20:14:31",177,6.209029,134.4361
"2017-05-25 20:29:31",178,5.028237,125.0814
"2017-05-25 20:44:31",179,4.487654,142.1833
"2017-05-25 20:59:31",180,6.027348,135.4083
"2017-05-25 21:14:31",181,5.946915,128.9964
"2017-05-25 21:29:31",182,5.245044,133.0392
"2017-05-25 21:44:31",183,3.708511,161.2541
"2017-05-25 21:59:31",184,4.685006,155.0766
"2017-05-25 22:14:31",185,5.286945,142.1415
"2017-05-25 22:29:31",186,4.109957,131.4982
"2017-05-25 22:44:31",187,3.777246,106.5054
"2017-05-25 22:59:31",188,5.671843,102.693
"2017-05-25 23:14:31",189,3.983814,96.61136
"2017-05-25 23:29:31",190,4.20045,109.0579
"2017-05-25 23:44:31",191,4.290691,117.6718
"2017-05-25 23:59:31",192,2.83004,119.0303
"2017-05-26 00:14:31",193,0.8345962,133.3492
"2017-05-26 00:29:31",194,0.8353589,185.5209
"2017-05-26 00:44:31",195,1.007849,240.105
"2017-05-26 00:59:31",196,0.404813,197.6458
"2017-05-26 01:14:31",197,0.8537241,149.7458
"2017-05-26 01:29:31",198,0.3713663,288.3116
"2017-05-26 01:44:31",199,0.3560376,80.55347
"2017-05-26 01:59:31",200,0.8576127,103.5324
"2017-05-26 02:14:31",201,0.6247731,89.36377
"2017-05-26 02:29:31",202,1.362919,83.29708
"2017-05-26 02:44:31",203,1.924465,98.9808
"2017-05-26 02:59:31",204,0.9385987,84.97343
"2017-05-26 03:14:31",205,0.9093314,97.81746
"2017-05-26 03:29:31",206,0.7447776,114.4772
"2017-05-26 03:44:31",207,1.439632,116.594
"2017-05-26 03:59:31",208,1.577551,102.2945
"2017-05-26 04:14:31",209,1.179866,69.71959
"2017-05-26 04:29:31",210,0.8097811,69.3864
"2017-05-26 04:44:31",211,1.044149,73.56259
"2017-05-26 04:59:31",212,1.059613,64.42767
"2017-05-26 05:14:31",213,1.518123,58.37003
"2017-05-26 05:29:31",214,1.835659,56.57318
"2017-05-26 05:44:31",215,2.283038,55.06253
"2017-05-26 05:59:31",216,2.169662,55.42033
"2017-05-26 06:14:31",217,1.782296,60.3183
"2017-05-26 06:29:31",218,1.527606,61.5994
"2017-05-26 06:44:31",219,1.380181,50.67757
"2017-05-26 06:59:31",220,1.140485,42.21676
"2017-05-26 07:14:31",221,1.480541,42.86342
"2017-05-26 07:29:31",222,1.272201,40.15216
"2017-05-26 07:44:31",223,1.700346,46.31005
"2017-05-26 07:59:31",224,1.353208,52.77851
"2017-05-26 08:14:31",225,1.565391,53.70129
"2017-05-26 08:29:31",226,1.140372,46.12162
"2017-05-26 08:44:31",227,1.510862,16.89194
"2017-05-26 08:59:31",228,2.012398,36.53623
"2017-05-26 09:14:31",229,1.625224,1.542607
"2017-05-26 09:29:31",230,2.197515,34.86302
"2017-05-26 09:44:31",231,2.686709,40.93169
"2017-05-26 09:59:31",232,2.195626,33.96063
"2017-05-26 10:14:31",233,2.203203,30.06431
"2017-05-26 10:29:31",234,1.700009,3.143405
"2017-05-26 10:44:31",235,1.65566,31.05778
"2017-05-26 10:59:31",236,2.711922,18.50764
"2017-05-26 11:14:31",237,3.201879,3.182783
"2017-05-26 11:29:31",238,3.5091,352.6799
"2017-05-26 11:44:31",239,3.259418,359.3524
"2017-05-26 11:59:31",240,3.841442,356.8962
"2017-05-26 12:14:31",241,3.2948,356.2798
"2017-05-26 12:29:31",242,3.419345,2.083768
"2017-05-26 12:44:31",243,4.236094,3.908803
"2017-05-26 12:59:31",244,3.970689,14.36067
"2017-05-26 13:14:31",245,4.291798,10.94808
"2017-05-26 13:29:31",246,4.604256,13.63562
"2017-05-26 13:44:31",247,5.264848,10.68546
"2017-05-26 13:59:31",248,4.222537,17.36461
"2017-05-26 14:14:31",249,3.890346,38.72681
"2017-05-26 14:29:31",250,3.245646,356.4238
"2017-05-26 14:44:31",251,3.809347,355.9228
"2017-05-26 14:59:31",252,3.636025,1.352802
"2017-05-26 15:14:31",253,3.25117,9.051024
"2017-05-26 15:29:31",254,4.211369,357.8029
"2017-05-26 15:44:31",255,4.504027,358.9062
"2017-05-26 15:59:31",256,3.991638,2.010226
"2017-05-26 16:14:31",257,3.597341,8.732315
"2017-05-26 16:29:31",258,3.430717,15.45335
"2017-05-26 16:44:31",259,3.850907,13.90816
"2017-05-26 16:59:31",260,4.031285,15.03512
"2017-05-26 17:14:31",261,3.496799,12.52622
"2017-05-26 17:29:31",262,3.906079,12.93045
"2017-05-26 17:44:31",263,4.173496,14.26312
"2017-05-26 17:59:31",264,4.079381,13.79564
"2017-05-26 18:14:31",265,4.591497,14.90256
"2017-05-26 18:29:31",266,4.661676,10.37371
"2017-05-26 18:44:31",267,3.905818,5.752934
"2017-05-26 18:59:31",268,3.474486,3.781929
"2017-05-26 19:14:31",269,3.358842,3.802621
"2017-05-26 19:29:31",270,3.178102,9.97203
"2017-05-26 19:44:31",271,3.217658,8.794479
"2017-05-26 19:59:31",272,4.077386,20.88593
"2017-05-26 20:14:31",273,3.929825,37.66875
"2017-05-26 20:29:31",274,3.84353,17.43387
"2017-05-26 20:44:31",275,3.122311,0.9366261
"2017-05-26 20:59:31",276,2.779828,350.413
"2017-05-26 21:14:31",277,2.914821,2.727236
"2017-05-26 21:29:31",278,3.502015,16.61636
"2017-05-26 21:44:31",279,2.932109,8.268056
"2017-05-26 21:59:31",280,2.412938,357.6021
"2017-05-26 22:14:31",281,2.112236,337.6435
"2017-05-26 22:29:31",282,2.331231,344.5365
"2017-05-26 22:44:31",283,2.680006,357.1072
"2017-05-26 22:59:31",284,2.468407,345.4295
"2017-05-26 23:14:31",285,2.666749,18.00103
"2017-05-26 23:29:31",286,3.294599,24.29209
"2017-05-26 23:44:31",287,2.955195,12.9729
"2017-05-26 23:59:31",288,2.946227,24.89707
"2017-05-27 00:14:31",289,2.736491,29.73468
"2017-05-27 00:29:31",290,2.612977,347.5634
"2017-05-27 00:44:31",291,2.03712,333.5609
"2017-05-27 00:59:31",292,2.259485,334.4703
"2017-05-27 01:14:31",293,2.21941,350.1333
"2017-05-27 01:29:31",294,2.570301,21.01189
"2017-05-27 01:44:31",295,2.538019,49.71966
"2017-05-27 01:59:31",296,1.208322,93.1856
"2017-05-27 02:14:31",297,0.9060738,83.5462
"2017-05-27 02:29:31",298,1.2749,84.49505
"2017-05-27 02:44:31",299,0.9107256,84.93183
"2017-05-27 02:59:31",300,0.4234914,86.44661
"2017-05-27 03:14:31",301,0.8946998,65.66293
"2017-05-27 03:29:31",302,1.201532,321.5123
"2017-05-27 03:44:31",303,1.989806,329.5062
"2017-05-27 03:59:31",304,2.102075,310.2482
"2017-05-27 04:14:31",305,2.103046,303.7427
"2017-05-27 04:29:31",306,1.251143,292.2642
"2017-05-27 04:44:31",307,0.4099824,23.41248
"2017-05-27 04:59:31",308,0.3614331,75.636
"2017-05-27 05:14:31",309,0.4271321,82.44008
"2017-05-27 05:29:31",310,0.2971461,289.4811
"2017-05-27 05:44:31",311,1.303691,272.6305
"2017-05-27 05:59:31",312,1.810708,276.8053
"2017-05-27 06:14:31",313,2.058948,274.4112
"2017-05-27 06:29:31",314,2.428848,278.1197
"2017-05-27 06:44:31",315,1.323088,286.3076
"2017-05-27 06:59:31",316,0.8388228,314.786
"2017-05-27 07:14:31",317,1.07184,343.175
"2017-05-27 07:29:31",318,0.7748076,311.5439
"2017-05-27 07:44:31",319,0.5804492,346.5436
"2017-05-27 07:59:31",320,0.5723123,355.0359
"2017-05-27 08:14:31",321,0.6082302,310.1995
"2017-05-27 08:29:31",322,0.3894157,315.9904
"2017-05-27 08:44:31",323,0.3126564,348.5874
"2017-05-27 08:59:31",324,0.2217363,357.3169
"2017-05-27 09:14:31",325,0.5211992,13.58219
"2017-05-27 09:29:31",326,0.5828759,19.85178
"2017-05-27 09:44:31",327,1.026638,2.014359
"2017-05-27 09:59:31",328,0.9273602,319.5453
"2017-05-27 10:14:31",329,0.2321656,324.1394
"2017-05-27 10:29:31",330,0.3277839,288.6328
"2017-05-27 10:44:31",331,0.6090838,204.5891
"2017-05-27 10:59:31",332,1.740196,155.8976
"2017-05-27 11:14:31",333,2.291177,129.9908
"2017-05-27 11:29:31",334,0.9195588,42.78535
"2017-05-27 11:44:31",335,0.5501041,349.3176
"2017-05-27 11:59:31",336,0.8108807,315.2533
"2017-05-27 12:14:31",337,1.314077,335.2535
"2017-05-27 12:29:31",338,1.563753,337.7357
"2017-05-27 12:44:31",339,1.508323,350.0382
"2017-05-27 12:59:31",340,1.017828,347.3464
"2017-05-27 13:14:31",341,0.6896874,338.2527
"2017-05-27 13:29:31",342,1.175392,323.5807
"2017-05-27 13:44:31",343,1.125492,0.4577518
"2017-05-27 13:59:31",344,1.083575,21.82924
"2017-05-27 14:14:31",345,0.6742675,346.9824
"2017-05-27 14:29:31",346,0.7169514,8.500372
"2017-05-27 14:44:31",347,1.489956,38.97313
"2017-05-27 14:59:31",348,2.23701,31.32092
"2017-05-27 15:14:31",349,2.400888,28.77692
"2017-05-27 15:29:31",350,2.439862,27.72015
"2017-05-27 15:44:31",351,1.585441,31.92589
"2017-05-27 15:59:31",352,2.073083,6.512762
"2017-05-27 16:14:31",353,2.258381,1.616997
"2017-05-27 16:29:31",354,2.629685,4.713902
"2017-05-27 16:44:31",355,2.757758,18.26238
"2017-05-27 16:59:31",356,2.72213,11.32685
"2017-05-27 17:14:31",357,2.446588,10.17127
"2017-05-27 17:29:31",358,2.366137,19.01714
"2017-05-27 17:44:31",359,2.353598,33.56075
"2017-05-27 17:59:31",360,1.840601,24.45935
"2017-05-27 18:14:31",361,0.3835724,75.99077
"2017-05-27 18:29:31",362,0,0
"2017-05-27 18:44:31",363,0,0
"2017-05-27 18:59:31",364,0.321759,188.3459
"2017-05-27 19:14:31",365,0.8747398,190.5748
"2017-05-27 19:29:31",366,0.6064554,197.8205
"2017-05-27 19:44:31",367,0.4053295,183.7447
"2017-05-27 19:59:31",368,0.2138702,144.3189
"2017-05-27 20:14:31",369,0.5665356,296.666
"2017-05-27 20:29:31",370,0.5023636,255.6333
"2017-05-27 20:44:31",371,0.5382364,234.673
"2017-05-27 20:59:31",372,0.9159406,218.1785
"2017-05-27 21:14:31",373,0.96512,213.6313
